language,our_family,glottocode,glottolog_name,glottolog_family,status
Talysh,Indo-European,taly1247,North-Central Talysh,Indo-European,MANUAL
Tat,Indo-European,musl1236,Muslim Tat,Indo-European,MANUAL
Mazanderani,Indo-European,maza1291,Mazanderani,Indo-European,OK
Sivandi,Indo-European,siva1239,Sivandi,Indo-European,OK
Baluchi,Indo-European,balo1260,Balochic,Indo-European,MANUAL
Avestan,Indo-European,aves1237,Avestan,Indo-European,OK
Ossetian,Indo-European,iron1242,Iron Ossetian,Indo-European,MANUAL
Pashto,Indo-European,pash1269,Pashto,Indo-European,OK
Yaghnobi,Indo-European,yagn1238,Yagnobi,Indo-European,MANUAL
Shughni,Indo-European,shug1248,Shughni,Indo-European,OK
Sarikoli,Indo-European,sari1246,Sarikoli,Indo-European,OK
Yazghulami,Indo-European,yazg1240,Yazgulyam,Indo-European,MANUAL
Munji,Indo-European,munj1244,Munji,Indo-European,OK
Yidgha,Indo-European,yidg1240,Yidgha,Indo-European,OK
Parachi,Indo-European,para1299,Parachi,Indo-European,OK
Ancient Greek,Indo-European,anci1242,Ionic-Attic Ancient Greek,Indo-European,MANUAL
Greek,Indo-European,gree1276,Greek,Indo-European,OK
Albanian,Indo-European,alba1267,Albanian,Indo-European,OK
Armenian,Indo-European,nucl1235,Eastern Armenian,Indo-European,MANUAL
Hittite,Indo-European,hitt1242,Hittite,Indo-European,OK
Luwian,Indo-European,cune1239,Cuneiform Luwian,Indo-European,MANUAL
Tocharian A,Indo-European,tokh1242,Tokharian A,Indo-European,MANUAL
Tocharian B,Indo-European,tokh1243,Tokharian B,Indo-European,MANUAL
Akkadian,Afro-Asiatic,akka1240,Akkadian,Afro-Asiatic,OK
Arabic,Afro-Asiatic,arab1395,Arabic,Afro-Asiatic,OK
Egyptian Arabic,Afro-Asiatic,egyp1253,Egyptian Arabic,Afro-Asiatic,OK
Gulf Arabic,Afro-Asiatic,gulf1241,Gulf Arabic,Afro-Asiatic,OK
Hijazi Arabic,Afro-Asiatic,hija1235,Hijazi Arabic,Afro-Asiatic,OK
Moroccan Arabic,Afro-Asiatic,moro1292,Moroccan Arabic,Afro-Asiatic,OK
South Levantine Arabic,Afro-Asiatic,sout3123,South Levantine Arabic,Afro-Asiatic,OK
Maltese,Afro-Asiatic,malt1254,Maltese,Afro-Asiatic,OK
Aramaic (Hebrew script),Afro-Asiatic,aram1259,Aramaic,Afro-Asiatic,OK
Syriac,Afro-Asiatic,clas1252,Classical Syriac,Afro-Asiatic,MANUAL
Hebrew,Afro-Asiatic,hebr1245,Modern Hebrew,Afro-Asiatic,MANUAL
Phoenician,Afro-Asiatic,phoe1239,Phoenician,Afro-Asiatic,OK
Ugaritic,Afro-Asiatic,ugar1238,Ugaritic,Afro-Asiatic,OK
Ge'ez,Afro-Asiatic,geez1241,Geez,Afro-Asiatic,OK
Amharic,Afro-Asiatic,amha1245,Amharic,Afro-Asiatic,OK
Tigrinya,Afro-Asiatic,tigr1271,Tigrinya,Afro-Asiatic,OK
Argobba,Afro-Asiatic,argo1244,Argobba,Afro-Asiatic,OK
Harsusi,Afro-Asiatic,hars1241,Harsusi,Afro-Asiatic,OK
Soqotri,Afro-Asiatic,soqo1240,Soqotri,Afro-Asiatic,OK
Central Atlas Tamazight,Afro-Asiatic,cent2194,Central Moroccan Berber,Afro-Asiatic,MANUAL
Tarifit,Afro-Asiatic,tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Afro-Asiatic,MANUAL
Tuareg,Afro-Asiatic,tuar1240,Tuareg,Afro-Asiatic,OK
Afar,Afro-Asiatic,afar1241,Afar,Afro-Asiatic,OK
Saho,Afro-Asiatic,saho1246,Saho,Afro-Asiatic,OK
Oromo,Afro-Asiatic,west2721,West Central Oromo,Afro-Asiatic,MANUAL
Somali,Afro-Asiatic,soma1255,Somali,Afro-Asiatic,OK
Sidamo,Afro-Asiatic,sida1246,Sidamo,Afro-Asiatic,OK
Kambaata,Afro-Asiatic,kamb1316,Kambaata,Afro-Asiatic,OK
Wolaytta,Afro-Asiatic,wola1242,Wolaytta,Ta-Ne-Omotic,DIFERE
Egyptian,Afro-Asiatic,egyp1246,Egyptian (Ancient),Afro-Asiatic,OK
Coptic,Afro-Asiatic,copt1239,Coptic,Afro-Asiatic,OK
Hausa,Afro-Asiatic,haus1257,Hausa,Afro-Asiatic,OK
Estonian,Uralic,esto1258,Estonian,Uralic,OK
Finnish,Uralic,finn1318,Finnish,Uralic,OK
Karelian,Uralic,kare1335,Karelian,Uralic,OK
Livonian,Uralic,livv1244,Liv,Uralic,MANUAL
Veps,Uralic,veps1250,Veps,Uralic,OK
Võro,Uralic,voro1243,Võro,Uralic,OK
Votic,Uralic,voti1245,Votic,Uralic,OK
Akkala Sami,Uralic,akka1237,Akkala Saami,Uralic,MANUAL
Inari Sami,Uralic,inar1241,Inari Saami,Uralic,MANUAL
Kildin Sami,Uralic,kild1236,Kildin Saami,Uralic,MANUAL
Lule Sami,Uralic,lule1254,Lule Saami,Uralic,MANUAL
Northern Sami,Uralic,nort2671,North Saami,Uralic,MANUAL
Pite Sami,Uralic,pite1240,Pite Saami,Uralic,MANUAL
Skolt Sami,Uralic,skol1241,Skolt Saami,Uralic,MANUAL
Southern Sami,Uralic,sout2674,South Saami,Uralic,MANUAL
Ter Sami,Uralic,ters1235,Ter Saami,Uralic,MANUAL
Ume Sami,Uralic,umes1235,Ume Saami,Uralic,MANUAL
Erzya,Uralic,erzy1239,Erzya,Uralic,OK
Moksha,Uralic,moks1248,Moksha,Uralic,OK
Eastern Mari,Uralic,east2328,Eastern Mari,Uralic,OK
Western Mari,Uralic,west2392,Western Mari,Uralic,OK
Komi-Zyrian,Uralic,komi1268,Komi-Zyrian,Uralic,OK
Udmurt,Uralic,udmu1245,Udmurt,Uralic,OK
Hungarian,Uralic,hung1274,Hungarian,Uralic,OK
Eastern Khanty,Uralic,east2774,East Khanty,Uralic,MANUAL
Northern Mansi,Uralic,mans1258,Northern Mansi,Uralic,OK
Tundra Nenets,Uralic,nene1249,Tundra Nenets,Uralic,OK
Nganasan,Uralic,ngan1291,Nganasan,Uralic,OK
Chuvash,Turkic,chuv1255,Chuvash,Turkic,OK
Ottoman Turkish,Turkic,otto1234,Ottoman Turkish,Turkic,OK
Turkish,Turkic,nucl1301,Turkish,Turkic,OK
Azerbaijani,Turkic,nort2697,North Azerbaijani,Turkic,MANUAL
Turkmen,Turkic,turk1304,Turkmen,Turkic,OK
Gagauz,Turkic,gaga1249,Gagauz,Turkic,OK
Tatar,Turkic,tata1255,Tatar,Turkic,OK
Bashkir,Turkic,bash1264,Bashkir,Turkic,OK
Kazakh,Turkic,kaza1248,Kazakh,Turkic,OK
Karakalpak,Turkic,kara1467,Kara-Kalpak,Turkic,OK
Kyrgyz,Turkic,kirg1245,Kirghiz,Turkic,MANUAL
Karachay-Balkar,Turkic,kara1465,Karachay-Balkar,Turkic,OK
Kumyk,Turkic,kumy1244,Kumyk,Turkic,OK
Nogai,Turkic,noga1249,Nogai,Turkic,OK
Crimean Tatar,Turkic,crim1257,Crimean Tatar,Turkic,OK
Chagatai,Turkic,chag1247,Chagatai,Turkic,OK
Uzbek,Turkic,uzbe1247,Uzbek,Turkic,OK
Uyghur,Turkic,uigh1240,Uighur,Turkic,MANUAL
Old Uyghur,Turkic,oldu1239,Old Uyghur,Turkic,OK
Yakut,Turkic,yaku1245,Sakha,Turkic,MANUAL
Dolgan,Turkic,dolg1241,Dolgan,Turkic,OK
Khakas,Turkic,khak1248,Khakas,Turkic,OK
Shor,Turkic,shor1247,Mrassu Shor-Tutal,Turkic,MANUAL
Tuvan,Turkic,tuvi1240,Tuvinian,Turkic,MANUAL
Southern Altai,Turkic,sout2694,Southern Altai,Turkic,OK
Mongolian,Mongolic,mong1331,Mongolian,Mongolic-Khitan,OK
Buryat,Mongolic,russ1264,Russia Buriat,Mongolic-Khitan,MANUAL
Kalmyk,Mongolic,kalm1244,Kalmyk,Mongolic-Khitan,OK
Daur,Mongolic,daur1238,Dagur,Mongolic-Khitan,MANUAL
Bonan,Mongolic,bona1250,Bonan,Mongolic-Khitan,OK
Dongxiang,Mongolic,dong1285,Dongxiang,Mongolic-Khitan,OK
Mangghuer,Mongolic,minh1238,Mangghuer,Mongolic-Khitan,OK
